"COD_UBIC_P,N,19,0","DESC_LINEA,C,50","COD_VARIAN,N,11,0","ORDINAL,N,6,0","CALLE,C,35","ESQUINA,C,36","COD_CALLE1,N,11,0","COD_CALLE2,N,11,0","X,N,32,10","Y,N,32,10"
546,144,883,44,CORU├æA,PURIFICACION,2187,5733,578023.6001100000,6140711.3452000000
546,144,3225,46,CORU├æA,PURIFICACION,2187,5733,578023.6001100000,6140711.3452000000
547,144,883,45,CORU├æA,SAN ANTONIO,2187,6279,577944.2534500000,6140828.5180400000
547,144,3225,47,CORU├æA,SAN ANTONIO,2187,6279,577944.2534500000,6140828.5180400000
548,144,888,20,CORU├æA,SAN ANTONIO,2187,6279,577926.5058900000,6140844.7782500000
548,144,3226,20,CORU├æA,SAN ANTONIO,2187,6279,577926.5058900000,6140844.7782500000
549,144,883,46,CORU├æA,AGACES,2187,120,577776.3141600000,6141077.7361200000
549,144,3225,48,CORU├æA,AGACES,2187,120,577776.3141600000,6141077.7361200000
550,144,888,19,CORU├æA,AGACES,2187,120,577751.5402700000,6141103.6846600000
550,144,3226,19,CORU├æA,AGACES,2187,120,577751.5402700000,6141103.6846600000
551,144,888,22,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.0885300000,6140505.7100400000
551,144,3226,22,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.0885300000,6140505.7100400000
551,538,8200,64,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.0885300000,6140505.7100400000
551,538,8202,64,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.0885300000,6140505.7100400000
551,174,8707,69,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.0885300000,6140505.7100400000
551,174,8709,71,COMERCIO,JUAN JACOBO ROUSSEAU,2079,6180,578204.0885300000,6140505.7100400000
553,494,129,92,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.8497007750,6138605.0386394300
553,495,141,88,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.8497007750,6138605.0386394300
553,185,1332,61,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.8497007750,6138605.0386394300
553,185,1347,63,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.8497007750,6138605.0386394300
553,186,1358,65,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.8497007750,6138605.0386394300
553,191,1391,32,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.8497007750,6138605.0386394300
553,316,1763,46,AV DR AMERICO RICALDONI,AV FEDERICO R VIDIELLA,5973,7268,577245.8497007750,6138605.0386394300
